,char,charname,birthname,types,universes,birthplace,superpowers,religions,gender,occupation,memberof
29,http://www.wikidata.org/entity/Q59665,Jubilee,JubilationLee,"superhero film character, animated character, vampire in Marvel Universe, comics character, mutant",Marvel Universe,,energy blasts,,,,
30,http://www.wikidata.org/entity/Q3545795,Aero,MelodyGuthrie,"comics character, mutant",Marvel Universe,,flight,,,,
31,http://www.wikidata.org/entity/Q2320361,Icarus,JoshuaGuthrie,mutant,Marvel Universe,,"flight, healing factor",,,,
32,http://www.wikidata.org/entity/Q2296652,Bishop,LucasBishop,"superhero film character, animated character, mutant","Earth-1191, Marvel Universe",,"energy manipulation, superhuman durability, superhuman strength",,,,
33,http://www.wikidata.org/entity/Q2405949,CaptainBritain,BrianBraddock,"mutate, comics character","Earth-616, Marvel Universe",,"flight, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength, precognition",,,,
34,http://www.wikidata.org/entity/Q770064,WarrenWorthingtonIII,WarrenKennethWorthingtonIII,"superhero film character, animated character, mutant","Earth-616, Marvel Universe",,"flight, healing factor",,,,
35,http://www.wikidata.org/entity/Q3316968,MisterNegative,MartinLi,"mutate, comics character","Earth-616, Marvel Universe",,"superhuman agility / reflexes, mind control, superhuman strength",,,,
36,http://www.wikidata.org/entity/Q2568013,HighEvolutionary,HerbertEdgarWyndham,"mutate, comics character",Marvel Universe,,"technopathy, clairvoyance, astral projection, psychokinesis, telepathy",,,,
37,http://www.wikidata.org/entity/Q7880273,UltimateWolverine,JamesHowlett,mutant,Marvel Universe,,"superhuman endurance, superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
38,http://www.wikidata.org/entity/Q920406,Warpath,JamesProudstar,"superhero film character, mutant","Earth-616, Marvel Universe",,"flight, superhuman speed, superhuman strength",,,,
39,http://www.wikidata.org/entity/Q836748,GhostRider,JohnBlaze,"superhero film character, comics character",Marvel Universe,,"immortality, superhuman strength, pyrokinesis, healing factor",,,,
40,http://www.wikidata.org/entity/Q5532787,Genesis,TylerDayspring,mutant,Marvel Universe,,telepathy,,,,
41,http://www.wikidata.org/entity/Q1087722,"Morbius,theLivingVampire",MichaelMorbius,"superhero film character, vampire in a work of fiction, animated character, mutate",Marvel Universe,,"superhuman endurance, superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor",,,,
42,http://www.wikidata.org/entity/Q3547398,GrandDirector,WilliamBurnside,"mutate, supersoldier, comics character",Marvel Universe,,superhuman strength,,,,
43,http://www.wikidata.org/entity/Q1188309,Spider-Woman,JessicaMiriamDrew,"animated character, fictional human, mutate","Earth-616, Marvel Universe",,"superhuman durability, superhuman speed, superhuman strength",,,,
44,http://www.wikidata.org/entity/Q4003147,UltimateCyclops,ScottSummers,mutant,Marvel Universe,,optic blasts,,,,
45,http://www.wikidata.org/entity/Q1748149,Menace,LilyHollister,"mutate, comics character",Marvel Universe,,superhuman strength,,,,
46,http://www.wikidata.org/entity/Q371692,Blob,FrederickJ.Dukes,"superhero film character, animated character, comics character, mutant","Earth-616, Marvel Universe",,"superhuman strength, superhuman durability",,,,
47,http://www.wikidata.org/entity/Q578279,Firestar,AngelicaJones,mutant,Marvel Universe,,"flight, pyrokinesis",,,,
48,http://www.wikidata.org/entity/Q2663986,Aurora,Jeanne-MarieBeaubier,mutant,"Earth-616, Marvel Universe",,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, photokinesis",,,,
49,http://www.wikidata.org/entity/Q2186500,Spider-Girl,MayParker,"mutate, comics character",Marvel Universe,,"superhuman speed, superhuman strength",,,,
50,http://www.wikidata.org/entity/Q52413964,OldManLogan,JamesHowlett,mutant,Marvel Universe,,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor",,,,
51,http://www.wikidata.org/entity/Q881024,Blade,EricBrooks,"dhampir in a work of fiction, superhero film character, television character, animated character, comics character",Marvel Universe,,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor",,,,
52,http://www.wikidata.org/entity/Q19398,Nova,FrankieRaye,"mutate, comics character",Marvel Universe,,"energy manipulation, flight, pyrokinesis",,,,
